"Series";"Time";"Value"
"liveness-http on minikube";"2020-05-19 21:08:05";null
"liveness-http on minikube";"2020-05-19 21:08:10";null
"liveness-http on minikube";"2020-05-19 21:08:15";null
"liveness-http on minikube";"2020-05-19 21:08:20";null
"liveness-http on minikube";"2020-05-19 21:08:25";null
"liveness-http on minikube";"2020-05-19 21:08:30";null
"liveness-http on minikube";"2020-05-19 21:08:35";null
"liveness-http on minikube";"2020-05-19 21:08:40";null
"liveness-http on minikube";"2020-05-19 21:08:45";null
"liveness-http on minikube";"2020-05-19 21:08:50";null
"liveness-http on minikube";"2020-05-19 21:08:55";null
"liveness-http on minikube";"2020-05-19 21:09:00";null
"liveness-http on minikube";"2020-05-19 21:09:05";null
"liveness-http on minikube";"2020-05-19 21:09:10";null
"liveness-http on minikube";"2020-05-19 21:09:15";null
"liveness-http on minikube";"2020-05-19 21:09:20";null
"liveness-http on minikube";"2020-05-19 21:09:25";null
"liveness-http on minikube";"2020-05-19 21:09:30";null
"liveness-http on minikube";"2020-05-19 21:09:35";null
"liveness-http on minikube";"2020-05-19 21:09:40";null
"liveness-http on minikube";"2020-05-19 21:09:45";null
"liveness-http on minikube";"2020-05-19 21:09:50";null
"liveness-http on minikube";"2020-05-19 21:09:55";null
"liveness-http on minikube";"2020-05-19 21:10:00";null
"liveness-http on minikube";"2020-05-19 21:10:05";null
"liveness-http on minikube";"2020-05-19 21:10:10";null
"liveness-http on minikube";"2020-05-19 21:10:15";null
"liveness-http on minikube";"2020-05-19 21:10:20";null
"liveness-http on minikube";"2020-05-19 21:10:25";null
"liveness-http on minikube";"2020-05-19 21:10:30";null
"liveness-http on minikube";"2020-05-19 21:10:35";null
"liveness-http on minikube";"2020-05-19 21:10:40";null
"liveness-http on minikube";"2020-05-19 21:10:45";null
"liveness-http on minikube";"2020-05-19 21:10:50";null
"liveness-http on minikube";"2020-05-19 21:10:55";null
"liveness-http on minikube";"2020-05-19 21:11:00";null
"liveness-http on minikube";"2020-05-19 21:11:05";null
"liveness-http on minikube";"2020-05-19 21:11:10";null
"liveness-http on minikube";"2020-05-19 21:11:15";null
"liveness-http on minikube";"2020-05-19 21:11:20";null
"liveness-http on minikube";"2020-05-19 21:11:25";null
"liveness-http on minikube";"2020-05-19 21:11:30";null
"liveness-http on minikube";"2020-05-19 21:11:35";null
"liveness-http on minikube";"2020-05-19 21:11:40";null
"liveness-http on minikube";"2020-05-19 21:11:45";null
